,ECFP6_2048,rdk,pIC50
185,6.6793564265291625,7.018370911017342,6.636388020107856
5339,4.635347174066586,4.6435773940678375,4.995248844408999
3941,5.0713253107980405,5.189679044374909,5.0655015487564325
3123,4.507825818471465,4.549661145122371,4.530472520812986
5579,5.922216476403457,5.650321166460434,6.769551078621726
3307,6.259783468622261,6.43762628251758,5.47755576649368
3571,7.332365022538628,7.104436141071341,7.61261017366127
2370,5.5750245666704075,7.79921673700142,6.560667306169737
221,4.660103337455143,4.927143815758869,5.0
1652,5.7572160178143506,5.547840217899256,6.698970004336019
5638,5.351189089282549,4.694403735822135,4.87484417041947
65,3.6265098703244574,3.2823497584977916,3.4814860601221125
4248,6.070013626796699,6.106309125617069,5.0
157,7.1073289147858665,6.9785827852852025,6.267606240177032
5673,6.531138064609373,6.329029380388935,6.381951903287908
1038,8.870825737759194,8.904489614466895,9.537602002101044
2518,5.664461055466369,5.791385225695654,6.431798275933005
3074,5.838719079586535,5.760189327394917,6.174002988352055
5566,4.371465559778874,4.542683810202582,4.301029995663981
5086,5.38023759036454,5.563459031150659,5.0
4823,6.368355193485016,6.286024102842588,7.0
1487,8.42708451844272,8.344316569978666,8.812479279163536
3992,5.019761220467109,5.084919539265091,5.275724130399211
5957,5.116887865523159,5.182690051421747,4.3979400086720375
535,6.266919840522037,6.2504607478132606,5.659159450187668
1566,7.384523461472248,7.481815974354355,7.508638306165727
1328,4.22310672228849,4.207320563643752,4.301029995663981
31,5.710474161320284,4.648615511628607,4.0
1163,4.626633837734003,5.2190845383660145,5.0
296,5.922694476530934,5.814706933314403,8.0
3265,6.99469775420268,6.935863790212753,8.070581074285707
5944,5.113807598837945,5.241932364324587,4.686554629573585
604,4.384856237616259,3.8357861887629685,3.639999991045884
